model,mae,rmse
naive_y_l1,0.1525821596244132,0.6833018428562185
ar1_y_l1,0.17436808474268548,0.6781943680321996
arx_y_l1_log_upt_l1,0.18118865835138176,0.7389445314351913
arx_y_l1_yoy_log_upt_l1,0.21326684828114906,0.8337221073343897
