era,model,n_months,mae,rmse
post_2020_03,naive,68,0.325,1.1984671582533104
post_2020_03,ar1,68,0.36023678172461215,1.188096223492129
post_2020_03,arx,68,0.37619441961261313,1.2796478250585452
pre_2020_03,naive,157,0.06878980891719746,0.10766780711010179
pre_2020_03,ar1,157,0.08335082577800401,0.11148325667467837
pre_2020_03,arx,157,0.08340267838334445,0.11054906847828626
